序号,创建日期,姓名,工号,工作任务,驻点
1,,张三,010200034567,常驻,青岛
2,,李四,010200034589,常驻,大连
3,,张三,010200034567,常驻,青岛
4,,李四,010200034589,常驻,大连
5,,张三,010200034567,常驻,青岛
6,,李四,010200034589,常驻,大连
7,,张三,010200034567,常驻,青岛
8,,李四,010200034589,常驻,大连
9,,张三,010200034567,常驻,青岛
10,,李四,010200034589,常驻,大连
11,,张三,010200034567,常驻,青岛
12,,李四,010200034589,常驻,大连
13,,张三,010200034567,常驻,青岛
14,,李四,010200034589,常驻,大连
15,,张三,010200034567,常驻,青岛
16,,李四,010200034589,常驻,大连
17,,张三,010200034567,常驻,青岛
18,,李四,010200034589,常驻,大连
19,,张三,010200034567,常驻,青岛
20,,李四,010200034589,常驻,大连
21,,张三,010200034567,常驻,青岛
22,,李四,010200034589,常驻,大连
23,,张三,010200034567,常驻,青岛
24,,李四,010200034589,常驻,大连
25,,张三,010200034567,常驻,青岛
26,,李四,010200034589,常驻,大连
27,,张三,010200034567,常驻,青岛
28,,李四,010200034589,常驻,大连
29,,张三,010200034567,常驻,青岛
30,,李四,010200034589,常驻,大连
31,,张三,010200034567,常驻,青岛
32,,李四,010200034589,常驻,大连
33,,张三,010200034567,常驻,青岛
34,,李四,010200034589,常驻,大连
35,,张三,010200034567,常驻,青岛
36,,李四,010200034589,常驻,大连
37,,张三,010200034567,常驻,青岛
38,,李四,010200034589,常驻,大连
39,,张三,010200034567,常驻,青岛
40,,李四,010200034589,常驻,大连
41,,张三,010200034567,常驻,青岛
42,,李四,010200034589,常驻,大连
43,,张三,010200034567,常驻,青岛
44,,李四,010200034589,常驻,大连
45,,张三,010200034567,常驻,青岛
46,,李四,010200034589,常驻,大连
47,,张三,010200034567,常驻,青岛
48,,李四,010200034589,常驻,大连
49,,张三,010200034567,常驻,青岛
50,,李四,010200034589,常驻,大连
51,,张三,010200034567,常驻,青岛
52,,李四,010200034589,常驻,大连
53,,张三,010200034567,常驻,青岛
54,,李四,010200034589,常驻,大连
55,,张三,010200034567,常驻,青岛
56,,李四,010200034589,常驻,大连
57,,张三,010200034567,常驻,青岛
58,,李四,010200034589,常驻,大连
59,,张三,010200034567,常驻,青岛
60,,李四,010200034589,常驻,大连
61,,张三,010200034567,常驻,青岛
62,,李四,010200034589,常驻,大连
63,,张三,010200034567,常驻,青岛
64,,李四,010200034589,常驻,大连
