序号,创建日期,值班领导,值班主管,值班日期
27,2024/12/19,李四,主管一,2025/1/15
28,2024/12/19,李四,主管二,2025/1/16
29,2024/12/19,李四,主管一,2025/1/17
30,2024/12/19,李四,主管二,2025/1/18
31,2024/12/19,李四,主管一,2025/1/19
32,2024/12/19,李四,主管二,2025/1/20
33,2024/12/19,李四,主管一,2025/1/21
34,2024/12/19,李四,主管二,2025/1/22
35,2024/12/19,李四,主管一,2025/1/23
36,2024/12/19,李四,主管二,2025/1/24
37,2024/12/19,李四,主管一,2025/1/25
38,2024/12/19,李四,主管二,2025/1/26
39,2024/12/19,李四,主管一,2025/1/27
40,2024/12/19,李四,主管二,2025/1/28
40,2024/12/19,李四,主管二,2025/2/1
40,2024/12/19,李四,主管二,2025/2/2
40,2024/12/19,李四,主管二,2025/2/3
40,2024/12/19,李四,主管二,2025/2/4
40,2024/12/19,李四,主管二,2025/2/5
40,2024/12/19,李四,主管二,2025/2/6
40,2024/12/19,李四,主管二,2025/2/7
40,2024/12/19,李四,主管二,2025/2/8
40,2024/12/19,李四,主管二,2025/2/9
40,2024/12/19,李四,主管二,2025/2/10
40,2024/12/19,李四,主管二,2025/2/11
40,2024/12/19,李四,主管二,2025/2/12
40,2024/12/19,李四,主管二,2025/2/13
