序号,创建日期,值班领导,值班主管,值班日期
1,2024/12/19,李四,主管一,2024/12/20
2,2024/12/19,李四,主管二,2024/12/21
3,2024/12/19,李四,主管一,2024/12/22
4,2024/12/19,李四,主管二,2024/12/23
5,2024/12/19,李四,主管一,2024/12/24
6,2024/12/19,李四,主管二,2024/12/25
7,2024/12/19,李四,主管一,2024/12/26
8,2024/12/19,李四,主管二,2024/12/27
9,2024/12/19,李四,主管一,2024/12/28
10,2024/12/19,李四,主管二,2024/12/29
11,2024/12/19,李四,主管一,2024/12/30
12,2024/12/19,李四,主管二,2024/12/31
13,2024/12/19,李四,主管一,2025/1/1
14,2024/12/19,李四,主管二,2025/1/2
15,2024/12/19,李四,主管一,2025/1/3
16,2024/12/19,李四,主管二,2025/1/4
17,2024/12/19,李四,主管一,2025/1/5
18,2024/12/19,李四,主管二,2025/1/6
19,2024/12/19,李四,主管一,2025/1/7
20,2024/12/19,李四,主管二,2025/1/8
21,2024/12/19,李四,主管一,2025/1/9
22,2024/12/19,李四,主管二,2025/1/10
23,2024/12/19,李四,主管一,2025/1/11
24,2024/12/19,李四,主管二,2025/1/12
25,2024/12/19,李四,主管一,2025/1/13
26,2024/12/19,李四,主管二,2025/1/14
27,2024/12/19,李四,主管一,2025/1/15
28,2024/12/19,李四,主管二,2025/1/16
29,2024/12/19,李四,主管一,2025/1/17
30,2024/12/19,李四,主管二,2025/1/18
31,2024/12/19,李四,主管一,2025/1/19
32,2024/12/19,李四,主管二,2025/1/20
33,2024/12/19,李四,主管一,2025/1/21
34,2024/12/19,李四,主管二,2025/1/22
35,2024/12/19,李四,主管一,2025/1/23
36,2024/12/19,李四,主管二,2025/1/24
37,2024/12/19,李四,主管一,2025/1/25
38,2024/12/19,李四,主管二,2025/1/26
39,2024/12/19,李四,主管一,2025/1/27
40,2024/12/19,李四,主管二,2025/1/28
